44547,932.57,33626750,914.77,960.66,909.04
44546,926.92,27590480,994.50,994.98,921.85
44545,975.99,25056410,953.21,978.75,928.25
44544,958.51,23602090,945.00,966.41,930.00
44543,966.41,26198500,1001.09,1005.00,951.42
44540,1017.03,19888120,1008.75,1020.98,982.53
44539,1003.80,19812830,1060.64,1062.49,1002.36
44538,1068.96,13968790,1052.71,1072.38,1033.00
44537,1051.75,18694860,1044.20,1057.67,1026.81
44536,1009.01,27221040,1001.51,1021.64,950.50
44533,1014.97,30774000,1084.79,1090.58,1000.21
44532,1084.60,24371620,1099.06,1113.00,1056.65
44531,1095.00,22934700,1160.70,1172.84,1090.76
44530,1144.76,27092040,1144.37,1168.00,1118.00
44529,1136.99,19464470,1100.99,1142.67,1100.19
44526,1081.92,11680890,1099.47,1108.78,1081.00
44524,1116.00,22560240,1080.39,1132.77,1062.00
44523,1109.03,36171700,1167.51,1180.50,1062.70
44522,1156.87,33072510,1162.33,1201.95,1132.43
44519,1137.06,21642260,1098.87,1138.72,1092.70
44518,1096.38,20898930,1106.55,1112.00,1075.02
44517,1089.01,31445370,1063.51,1119.64,1055.50
44516,1054.73,26542360,1003.31,1057.20,1002.18
44515,1013.39,34775650,1017.63,1031.98,978.60
44512,1033.42,25573150,1047.50,1054.50,1019.20
44511,1063.51,22396570,1102.77,1104.97,1054.68
44510,1067.95,42802720,1010.41,1078.10,987.31
44509,1023.50,59105840,1173.60,1174.50,1011.52
44508,1162.94,33445720,1149.79,1197.00,1133.00
44505,1222.09,21628810,1228.00,1239.87,1208.00
44504,1229.91,25397410,1234.41,1243.49,1217.00
44503,1213.86,34628520,1177.33,1215.39,1152.62
44502,1172.00,42737800,1159.36,1208.59,1146.00
44501,1208.59,56048720,1145.00,1209.75,1118.66
44498,1114.00,29918420,1081.86,1115.21,1073.21
44497,1077.04,27213170,1068.31,1081.00,1054.20
44496,1037.86,38526460,1039.66,1070.88,1030.78
44495,1018.43,62414970,1024.69,1094.94,1001.44
44494,1024.86,62852100,950.53,1045.02,944.20
44491,909.68,22880840,895.50,910.00,890.96
44490,894.00,31481450,856.00,900.00,855.50
44489,865.80,14032050,865.35,869.49,857.38
44488,864.27,17381130,877.53,877.95,862.51
44487,870.11,24207240,851.79,875.26,851.47
44484,843.03,18924570,823.74,843.21,822.35
44483,818.32,12247170,815.49,820.25,813.35
44482,811.08,14120080,810.47,815.41,805.78
44481,805.72,22020040,800.93,812.32,796.57
44480,791.94,14200320,787.65,801.24,785.50
44477,785.49,16738600,796.21,796.38,780.91
44476,793.61,19195780,785.46,805.00,783.38
44475,782.75,14632770,776.20,786.66,773.22
44474,780.59,18432630,784.80,797.31,774.20
44473,781.53,30483340,796.50,806.97,776.12
44470,775.22,17031410,778.40,780.78,763.59
44469,775.48,17955960,781.00,789.13,775.00
44468,781.31,20942880,779.80,793.50,770.68
44467,777.56,25381420,787.20,795.64,766.18
44466,791.36,28070660,773.12,799.00,769.31
44463,774.39,21373020,745.89,774.80,744.56
44462,753.64,11947530,755.00,758.20,747.92
44461,751.94,15126270,743.53,753.67,739.12
44460,739.38,16330720,734.79,744.74,730.44
44459,730.17,24757650,734.56,742.00,718.62
44456,759.49,28204180,757.15,761.04,750.00
44455,756.99,13923390,752.83,758.91,747.61
44454,755.83,15357690,745.00,756.86,738.36
44453,744.49,18524880,742.57,754.47,736.40
44452,743.00,22952480,740.21,744.78,708.85
44449,736.27,15184170,759.60,762.61,734.52
44448,754.86,14077730,753.41,762.10,751.63
44447,753.87,18793040,761.58,764.45,740.77
44446,752.92,20039830,740.00,760.20,739.26
44442,733.57,15271050,732.25,734.00,724.20
44441,732.39,12796740,734.50,740.97,730.54
44440,734.09,13204340,734.08,741.99,731.27
44439,735.72,20855440,733.00,740.39,726.44
44438,730.91,18604220,714.72,731.00,712.73
44435,711.92,13833760,705.00,715.00,702.10
44434,701.16,13214290,708.31,715.40,697.62
44433,711.20,12645560,707.03,716.97,704.00
44432,708.49,13083070,710.68,715.22,702.64
44431,706.30,20264860,685.44,712.13,680.75
